operator,technology,enb_id,sector_id,cell_id,pci,channel_number,longitude,latitude,height_m,azimuth_deg
B,LTE,112553,12,28813580,301,1525,16.317223407019153,48.200470392937355,28,240.0
B,LTE,112405,1,28775681,40,3350,16.31523813023688,48.19718314553325,25,135.0
B,LTE,112405,101,28775781,255,525,16.31523813023688,48.19718314553325,25,135.0
B,LTE,112405,2,28775682,152,3350,16.31523813023688,48.19718314553325,25,195.0
B,LTE,112405,12,28775692,10,1525,16.31523813023688,48.19718314553325,25,195.0
B,LTE,112405,10,28775690,295,1525,16.31523813023688,48.19718314553325,25,45.0
B,LTE,111231,100,28475236,420,525,16.327832510548426,48.17927621921028,25,350.0
B,LTE,111330,13,28500493,16,1525,16.32950337698042,48.19338668116537,24,310.0
B,LTE,111330,10,28500490,23,1525,16.32950337698042,48.19338668116537,24,10.0
B,LTE,111330,1,28500481,493,3350,16.32950337698042,48.19338668116537,24,165.0
B,LTE,111330,73,28500553,315,3632,16.32950337698042,48.19338668116537,24,310.0
B,LTE,111330,100,28500580,300,525,16.32950337698042,48.19338668116537,24,10.0
B,LTE,111330,103,28500583,284,525,16.32950337698042,48.19338668116537,24,310.0
B,LTE,111231,11,28475147,445,1525,16.327832510548426,48.17927621921028,25,65.0
B,LTE,111231,74,28475210,410,3632,16.327832510548426,48.17927621921028,25,270.0
B,LTE,111181,0,28462336,140,3350,16.32150837093418,48.17906057930232,25,10.0
B,LTE,112181,10,28718346,22,1525,16.317016794503424,48.19419510014859,30,55.0
B,LTE,111330,3,28500483,392,3350,16.32950337698042,48.19338668116537,24,310.0
B,LTE,111330,0,28500480,9,3350,16.32950337698042,48.19338668116537,24,10.0
B,LTE,111308,101,28494949,65,525,16.339007552707656,48.18064191756755,28,125.0
B,LTE,111320,102,28498022,89,525,16.33142577169278,48.1867332079591,27,260.0
B,LTE,111320,101,28498021,388,525,16.33142577169278,48.1867332079591,27,140.0
B,LTE,111235,0,28476160,478,3350,16.3248321374927,48.187140466061805,28,35.0
